niveau;code;libelle
3;23.2;Fabrication de produits réfractaires
3;23.3;Fabrication de matériaux de construction en terre cuite
3;23.4;Fabrication d'autres produits en céramique et en porcelaine
3;23.5;Fabrication de ciment, chaux et plâtre
3;23.6;Fabrication d'ouvrages en béton, en ciment ou en plâtre
3;23.7;Taille, façonnage et finissage de pierres
3;23.9;Fabrication de produits abrasifs et de produits minéraux non métalliques n.c.a.
3;24.1;Sidérurgie
3;24.2;Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier
3;24.3;Fabrication d'autres produits de première transformation de l'acier
3;24.4;Production de métaux précieux et d'autres métaux non ferreux
3;24.5;Fonderie
3;25.1;Fabrication d'éléments en métal pour la construction
3;25.2;Fabrication de réservoirs, citernes et conteneurs métalliques
3;25.3;Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central
3;25.4;Fabrication d'armes et de munitions
3;25.5;"Forge, emboutissage, estampage ; métallurgie des poudres"
3;25.6;"Traitement et revêtement des métaux ; usinage"
3;25.7;Fabrication de coutellerie, d'outillage et de quincaillerie
3;25.9;Fabrication d'autres ouvrages en métaux
3;26.1;Fabrication de composants et cartes électroniques
3;26.2;Fabrication d'ordinateurs et d'équipements périphériques
3;26.3;Fabrication d'équipements de communication
3;26.4;Fabrication de produits électroniques grand public
3;26.5;"Fabrication d'instruments et d'appareils de mesure, d'essai et de navigation ; horlogerie"
3;26.6;Fabrication d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques
3;26.7;Fabrication de matériels optique et photographique
3;26.8;Fabrication de supports magnétiques et optiques
3;27.1;Fabrication de moteurs, génératrices et transformateurs électriques et de matériel de distribution et de commande électrique
3;27.2;Fabrication de piles et d'accumulateurs électriques
3;27.3;Fabrication de fils et câbles et de matériel d'installation électrique
3;27.4;Fabrication d'appareils d'éclairage électrique
3;27.5;Fabrication d'appareils ménagers
3;27.9;Fabrication d'autres matériels électriques
3;28.1;Fabrication de machines d'usage général
3;28.2;Fabrication d'autres machines d'usage général
3;28.3;Fabrication de machines agricoles et forestières
3;28.4;Fabrication de machines de formage des métaux et de machines-outils
3;28.9;Fabrication d'autres machines d'usage spécifique
3;29.1;Construction de véhicules automobiles
3;29.2;Fabrication de carrosseries et remorques
3;29.3;Fabrication d'équipements automobiles
3;30.1;Construction navale
3;30.2;Construction de locomotives et d'autre matériel ferroviaire roulant
3;30.3;Construction aéronautique et spatiale
3;30.4;Construction de véhicules militaires de combat
3;30.9;Fabrication de matériels de transport n.c.a.
3;31.0;Fabrication de meubles
3;32.1;Fabrication d'articles de joaillerie, bijouterie et articles similaires
3;32.2;Fabrication d'instruments de musique
3;32.3;Fabrication d'articles de sport
3;32.4;Fabrication de jeux et jouets
3;32.5;Fabrication d'instruments et de fournitures à usage médical et dentaire
3;32.9;Activités manufacturières n.c.a.
3;33.1;Réparation d'ouvrages en métaux, de machines et d'équipements
3;33.2;Installation de machines et d'équipements industriels
3;35.1;Production, transport et distribution d'électricité
3;35.2;Production et distribution de combustibles gazeux
3;35.3;Production et distribution de vapeur et d'air conditionné
3;36.0;Captage, traitement et distribution d'eau
3;37.0;Collecte et traitement des eaux usées
3;38.1;Collecte des déchets
3;38.2;Traitement et élimination des déchets
3;38.3;Récupération
3;39.0;Dépollution et autres services de gestion des déchets
3;41.1;Promotion immobilière
3;41.2;Construction de bâtiments résidentiels et non résidentiels
3;42.1;Construction de routes et de voies ferrées
3;42.2;Construction de réseaux et de lignes
3;42.9;Construction d'autres ouvrages de génie civil
3;43.1;Démolition et préparation des sites
3;43.2;Travaux d'installation électrique, plomberie et autres travaux d'installation
3;43.3;Travaux de finition
3;43.9;Autres travaux de construction spécialisés
3;45.1;Commerce de véhicules automobiles
3;45.2;Entretien et réparation de véhicules automobiles
3;45.3;Commerce d'équipements automobiles
3;45.4;Commerce et réparation de motocycles
3;46.1;Intermédiaires du commerce de gros
3;46.2;Commerce de gros de produits agricoles bruts et d'animaux vivants
3;46.3;Commerce de gros de produits alimentaires, de boissons et de tabac
3;46.4;Commerce de gros de biens domestiques
3;46.5;Commerce de gros d'équipements de l'information et de la communication
3;46.6;Commerce de gros d'autres équipements industriels
3;46.7;Autres commerces de gros spécialisés
3;46.9;Commerce de gros non spécialisé
3;47.1;Commerce de détail en magasin non spécialisé
3;47.2;Commerce de détail alimentaire en magasin spécialisé
3;47.3;Commerce de détail de carburants en magasin spécialisé
3;47.4;Commerce de détail d'équipements de l'information et de la communication en magasin spécialisé
3;47.5;Commerce de détail d'autres équipements du foyer en magasin spécialisé
3;47.6;Commerce de détail de biens culturels et de loisirs en magasin spécialisé
3;47.7;Autres commerces de détail en magasin spécialisé
3;47.8;Commerce de détail sur éventaires et marchés
3;47.9;Commerce de détail hors magasin, éventaires ou marchés
3;49.1;Transport ferroviaire interurbain de voyageurs
3;49.2;Transports ferroviaires de fret
3;49.3;Autres transports terrestres de voyageurs
3;49.4;Transports routiers de fret et services de déménagement
3;49.5;Transports par conduites
3;50.1;Transports maritimes et côtiers de passagers
3;50.2;Transports maritimes et côtiers de fret
3;50.3;Transports fluviaux de passagers
3;50.4;Transports fluviaux de fret
3;51.1;Transports aériens de passagers
3;51.2;Transports aériens de fret et transports spatiaux
3;52.1;Entreposage et stockage
3;52.2;Services auxiliaires des transports
3;53.1;Activités de poste dans le cadre d'une obligation de service universel
3;53.2;Autres activités de poste et de courrier
3;55.1;Hôtels et hébergement similaire
3;55.2;Hébergement touristique et autre hébergement de courte durée
3;55.3;Terrains de camping et parcs pour caravanes ou véhicules de loisirs
3;55.9;Autres hébergements
3;56.1;Restaurants et services de restauration mobile
3;56.2;Traiteurs et autres services de restauration
3;56.3;Débits de boissons
3;58.1;Édition de livres et périodiques et autres activités d'édition
3;58.2;Édition de logiciels
3;59.1;Activités cinématographiques, vidéo et de télévision
3;59.2;Enregistrement sonore et édition musicale
3;60.1;Édition et diffusion de programmes radio
3;60.2;Programmation de télévision et télédiffusion
3;61.1;Télécommunications filaires
3;61.2;Télécommunications sans fil
3;61.3;Télécommunications par satellite
3;61.9;Autres activités de télécommunication
3;62.0;Programmation, conseil et autres activités informatiques
3;63.1;"Traitement de données, hébergement et activités connexes ; portails Internet"
3;63.9;Autres services d'information
3;64.1;Intermédiation monétaire
3;64.2;Activités des sociétés holding
3;64.3;Fonds de placement et entités financières similaires
3;64.9;Autres activités des services financiers, hors assurance et caisses de retraite
3;65.1;Assurance
3;65.2;Réassurance
3;65.3;Caisses de retraite
3;66.1;Activités auxiliaires de services financiers, hors assurance et caisses de retraite
3;66.2;Activités auxiliaires d'assurance et de caisses de retraite
3;66.3;Gestion de fonds
3;68.1;Activités des marchands de biens immobiliers
3;68.2;Location et exploitation de biens immobiliers propres ou loués
3;68.3;Activités immobilières pour compte de tiers
3;69.1;Activités juridiques
3;69.2;Activités comptables
3;70.1;Activités des sièges sociaux
3;70.2;Conseil de gestion
3;71.1;Activités d'architecture et d'ingénierie
3;71.2;Activités de contrôle et analyses techniques
3;72.1;Recherche-développement en sciences physiques et naturelles
